Questions,Answers,Genre,Filename
Is it safe to pay bills with a credit/debit card on KE Live?,KE Live ensures secure transactions using encryption and fraud monitoring systems.,Customer Services,kelive
Do I need to save my card details on KE Live for payments?,"No, KE Live does not store card details, and users do not need to sign up to make payments.",Customer Services,kelive
"What is KE’s approach to customer service, technology, and sustainability?","KE is innovating by integrating customer centricity, technology, and sustainability into its operations to enhance the customer experience and promote a greener environment.",E-Billing,e-billing
How many consumers does K-Electric serve?,K-Electric serves a consumer base of 3.2 million and continues to grow.,E-Billing,e-billing
What is the purpose of KE’s e-billing initiative?,KE’s e-billing initiative aims to provide customers with a seamless and paperless billing experience while promoting environmental sustainability.,E-Billing,e-billing
How can I subscribe to KE’s e-billing service?,"To subscribe to KE’s e-billing service, fill out the online form on KE’s website.",E-Billing,e-billing
What are the benefits of KE’s paperless bill delivery?,"Paperless bill delivery reduces environmental waste, provides instant access to bills, and eliminates the risk of lost paper bills.",E-Billing,e-billing
How will I receive my KE e-bill every month?,You will receive your KE e-bill as an email attachment every month.,E-Billing,e-billing
What should I do to ensure I receive my KE e-bill?,"To ensure you receive your KE e-bill, add noreply@billingke.com.pk to your safe sender list and check your email regularly.",E-Billing,e-billing
Is KE responsible if I do not receive my e-bill?,"No, KE is not responsible for lost or misdirected paperless bills if your email is invalid, your inbox is full, or the bill goes to your junk folder.",E-Billing,e-billing
Can KE e-bill attachments contain viruses or defects?,KE does not guarantee that e-bill attachments are free from computer viruses or defects.,E-Billing,e-billing
What happens if my email address is incorrect for KE e-billing?,"If your email address is incorrect, you may not receive your KE e-bill. Make sure to update it in a timely manner.",E-Billing,e-billing
How can I update my email address for KE e-billing?,"To update your email address for KE e-billing, contact KE customer support or update it through the KE website.",E-Billing,e-billing
What is the registered office address of K-Electric?,"K-Electric's registered office is located at KE House, 39-B, Sunset Boulevard, Phase-II, Defence Housing Authority, Karachi.",Contact Us,contact-us
What are the contact numbers for K-Electric?,You can contact KE at 92-21-3263 7133 or 92-21-3870 9132.,Contact Us,contact-us
How can I contact KE for customer complaints or queries?,"For customer complaints or queries, call KE at 118 or 99000.",Contact Us,contact-us
What is the email address for billing and new connection complaints?,"For billing and new connection complaints, email KE at customer.care@ke.com.pk.",Contact Us,contact-us
"How can I report theft, fraud, or malpractice related to KE?","To report theft, fraud, or malpractice, send details to speakup@ke.com.pk with appropriate information.",Contact Us,contact-us
Where can I send queries related to Net Metering?,"For Net Metering-related queries, email KE at net.metering@ke.com.pk.",Contact Us,contact-us
How can I contact KE for investment-related queries?,"For investment-related queries, contact rizwan.pesnani@ke.com.pk.",Contact Us,contact-us
Where can I send my CV for career opportunities at KE?,"To apply for career opportunities at KE, send your CV to hr.recruitments@ke.com.pk.",Contact Us,contact-us
What are KE’s future investment plans from 2023 onwards?,"KE plans to invest PKR 474 billion across the energy value chain from 2023 to 2030, adding 2,172 MW to its generation capacity, with 30% share from renewables.",FAQ,faq
How will KE meet the demand and supply gap in the future?,"KE’s future energy strategy includes investing in renewables, adding 900 MW of solar, 200 MW of wind, and 82 MW of hydroelectric power by 2030.",FAQ,faq
Why do some areas experience load shedding while others do not?,KE’s Segmented Load-Shed (SLS) policy divides feeders based on loss profiles. Areas with high T&D losses and low recovery ratios face more load shedding.,FAQ,faq
What is Fuel Charge Adjustment (FCA)?,"Fuel Charge Adjustments (FCA) are monthly tariff adjustments approved by NEPRA to reflect changes in fuel prices, generation mix, and power costs.",FAQ,faq
What has KE done to improve customer centricity?,"KE has improved accessibility with 65 upgraded and new customer touchpoints, 24/7 digital updates, and industry-first cashback incentives for bill payments.",FAQ,faq
Why are illegal streetlights a hazard?,"Illegal streetlights are installed without safety protocols, causing electrical hazards and increasing the risk of electrocution.",FAQ,faq
Why is KE conducting a drive against commercially operated generators?,KE has exclusive distribution rights in Karachi and is cracking down on unauthorized commercial generators to prevent safety hazards and illegal electricity distribution.,FAQ,faq
What is ISPA (Industrial Support Package)?,The Industrial Support Package (ISPA) provided a PKR 3/unit discount for zero-rated industries but was discontinued by the government in July 2019.,FAQ,faq
How has privatization improved KE’s performance?,"Since privatization, KE has doubled its customer base, increased power supply, and reduced T&D losses from 34.2% to 15.3%, surpassing NEPRA benchmarks.",FAQ,faq
What efforts has KE made for citizen and staff safety?,"KE has taken various safety measures, including pole grounding, ABC cable conversion, and the removal of 202,898 illegal connections in 2020.",FAQ,faq
Why are internet/cable wires an intrusion to KE’s system?,Unauthorized internet and cable wires on KE infrastructure cause electrocution hazards and delay fault resolution.,FAQ,faq
"How much did KE commit to invest under the Implementation Agreement, and did it fulfill its commitments?","KE fulfilled its obligation to invest USD 361 million under the Implementation Agreement. However, it faces delays in tariff approvals and energy payments.",FAQ,faq
"What kind of meters does KE use, and do they run fast?",KE uses digital meters that meet global standards. Meters are procured from ISO-certified vendors and tested in KE’s certified labs for accuracy.,FAQ,faq
How are average bills calculated?,"KE follows NEPRA guidelines for average billing, using the highest value between the previous year’s consumption for the same month or the average of the last 11 months.",FAQ,faq
What is the significance of KE’s distribution license?,KE’s distribution license grants exclusive rights to supply power in Karachi until 2023. KE advocates a structured transition to an open electricity market.,FAQ,faq
How can I report an emergency complaint to KE?,"You can report an emergency complaint to KE by calling 118, sending an SMS to 8119, or using KE Live, WhatsApp, or social media.",Report Safety Issues,report-safety-issues
What is the contact number for reporting safety hazards to KE?,"To report a safety hazard to KE, call 118 immediately.",Report Safety Issues,report-safety-issues
How can I report a safety hazard to KE via SMS?,You can report a safety hazard to KE via SMS by sending a message to 8119.,Report Safety Issues,report-safety-issues
Does KE have a WhatsApp number for safety complaints?,"Yes, KE has a WhatsApp number (0348-0000118). Send 'HI' to report safety issues.",Report Safety Issues,report-safety-issues
How can I report a safety issue to KE via social media?,You can report a safety issue to KE via Facebook (https://web.facebook.com/KElectricPk) or Twitter (https://twitter.com/KElectricPk).,Report Safety Issues,report-safety-issues
What should I do if I see a broken electrical wire?,Do not approach a broken electrical wire. Call 118 immediately.,Report Safety Issues,report-safety-issues
Is using a Kunda (illegal connection) dangerous?,"Yes, using a Kunda (illegal connection) is highly dangerous and can cause electrical fires and electrocution.",Report Safety Issues,report-safety-issues
What should I do if an electrical appliance appears to be faulty?,Stop using faulty equipment immediately and have it checked by a qualified electrician.,Report Safety Issues,report-safety-issues
Why should I stay away from generators and water pumps with loose connections?,Loose electrical connections on generators and water pumps can lead to electrocution or fire hazards.,Report Safety Issues,report-safety-issues
Can I use electrical equipment around water?,"No, never use electrical equipment in wet or damp conditions as it increases the risk of electrocution.",Report Safety Issues,report-safety-issues
How should I safely unplug electrical equipment?,"Never pull a plug out by its cord; instead, grip and pull the plug directly.",Report Safety Issues,report-safety-issues
Is it safe to use outlets or cords with exposed wiring?,"No, using exposed wiring is highly dangerous and can cause electrical shocks or fires.",Report Safety Issues,report-safety-issues
Why should I not climb power poles?,Never climb on power poles as they carry high-voltage electricity and can cause fatal electrocution.,Report Safety Issues,report-safety-issues
Can I fly a kite near power lines?,"No, never fly a kite near power lines, as it may cause electric shocks or power outages.",Report Safety Issues,report-safety-issues
Why is it dangerous to put objects in an electrical socket?,Inserting fingers or objects in an electrical socket can result in serious electric shocks or fatalities.,Report Safety Issues,report-safety-issues
What is the Roshni Baji programme?,The Roshni Baji programme is KE’s women-led neighbourhood ambassador initiative focused on enhancing electrical safety awareness in communities.,Social Impact,social-impact
When was the Roshni Baji programme launched?,The Roshni Baji programme was launched by KE in 2021.,Social Impact,social-impact
What is the purpose of the Roshni Baji programme?,"The programme aims to create safer communities by educating residents, especially women and children, on electrical safety and legal electricity connections.",Social Impact,social-impact
How does the Roshni Baji programme improve electrical safety?,"Roshni Baji ambassadors go door-to-door to educate people about electrical hazards, energy conservation, and safe electricity usage.",Social Impact,social-impact
How does the Roshni Baji programme empower women?,"The programme empowers women by providing personal and professional development, self-defense training, and mobility support through motorbike riding classes.",Social Impact,social-impact
What kind of training do Roshni Bajis receive?,"Roshni Bajis receive training in personal development, stress management, communication skills, self-defense, and mobility enhancement.",Social Impact,social-impact
What award did KE win for the Roshni Baji programme?,"KE won the S&P Global Energy Award for Corporate Social Responsibility for the Roshni Baji programme, marking a first for Pakistan.",Social Impact,social-impact
What social initiatives does KE support in local communities?,"KE supports social initiatives in areas such as health, education, community development, disaster relief, and financial literacy.",Social Impact,social-impact
How does KE contribute to water access in communities?,"KE has provided clean drinking water to 150,000 people through the installation of 15 water plants.",Social Impact,social-impact
What healthcare services does KE provide in its social initiatives?,"KE has facilitated healthcare services for 37,500 people through health camps and provided 5,000 Covid-19 vaccinations in remote areas.",Social Impact,social-impact
How has KE supported community sports initiatives?,"KE has engaged 1,300 children in community sports initiatives to promote youth development.",Social Impact,social-impact
What steps has KE taken to improve education in local communities?,"KE renovated three schools, benefiting 950 students in underserved communities.",Social Impact,social-impact
How does KE provide disaster relief during heatwaves?,"KE distributed 33,000 water bottles with ORS sachets at 11 heatwave relief camps to support vulnerable populations.",Social Impact,social-impact
What safety measures has KE implemented for coastal communities?,"KE distributed 1,000 safety gear kits among coastal communities to improve safety and disaster preparedness.",Social Impact,social-impact
How is KE supporting financial literacy for women?,KE trained 170 women in financial literacy to empower them with better financial management skills.,Social Impact,social-impact
